UGB,Empreendimento,FASE,Etapa,% concluído,Nome da tarefa,Iniciar,Terminar
SC,BA-5,ENG.PROD,PL-ER-E-IP,0.01,PL - ER E5,2024-06-20 08:00:00,2024-08-30 16:59:59
SC,BA-5,ENG.PROD,PROJ-EXEC,0.01,PE - ELE - ER INC,2024-12-09 08:00:00,2025-01-23 16:59:59
SC,BA-5,ENG.PROD,PL-ER-E-IP,0.01,PL - IP E5,2024-06-20 08:00:00,2024-09-11 16:59:59
SC,BA-5,ORÇ.,ORÇ,0.01,ORÇ - ELE - ER / IP INC,2025-01-24 08:00:00,2025-02-25 16:59:59
SC,BA-5,ORÇ.,ORÇ,0.01,ORÇ - ELE - ER / IP INC,2025-01-24 08:00:00,2025-02-25 16:59:59
SC,BA-5,SUP.,SUP,0.002,SUPRIMENTOS,2024-12-26 08:00:00,2025-09-17 07:59:59
SC,BA-5,INFRA,EXECUÇÃO-TER,0.01,EXECUÇÃO,2025-01-13 08:00:00,2025-05-07 16:59:59
SC,BA-5,INFRA,PIQ,0.01,IMPLANTAR PIQUETE DO PDE,2024-06-21 08:00:00,2024-06-21 08:00:00
SC,BA-5,INFRA,EXECUÇÃO-ER,0.001,EXECUÇÃO ER,2025-04-14 08:00:00,2025-09-15 07:59:59
SC,BA-5,INFRA,EXECUÇÃO-IP,0.0,EXECUÇÃO IP,2025-09-15 08:00:00,2025-09-29 07:59:59
SC,BA-5,INFRA,PINT-BAR,0.0,PINTURA DOS BARRAMENTOS E IMPLANTAÇÃO DAS PLACAS DOS TRANSFORMADORES,2026-01-02 08:00:00,2026-01-08 16:59:59
SC,BA-5,LEG.,APROV-ER-(NEO),0.01,APROVAÇÃO DO PROJETO DE E.R. (NEOENERGIA) - 1 e 2ª FASE (9201337867),2024-09-02 08:00:00,2024-12-06 16:59:59
SC,BA-5,LEG.,SOLIC-CONEXÃO,0.01,SOLICITAÇÃO ABERTURA DE NOTAS POR E-MAIL,2024-12-09 08:00:00,2024-12-11 16:59:59
SC,BA-5,LEG.,CONEXÃO,0.0026,CONEXÃO - NOTA Nº 9101457130,2025-03-18 17:00:00,2025-11-07 07:59:59
SC,BA-5,LEG.,INCORPORAÇÃO,0.0,INCORPORAÇÃO - NOTA Nº 9101456631 - EMPRESA CONEXÃO,2025-09-15 08:00:00,2026-01-01 16:59:59
SC,BA-5,LEG.,COMISSIONAMENTO,0.0,COMISSIONAMENTO - NOTA Nº 9101453132 -  EMPRESA CONEXÃO,2026-01-09 08:00:00,2026-02-27 16:59:59
SC,BA-5,LEG.,CARTA,0.0,CARTA DE ENTREGA,2026-03-02 08:00:00,2026-03-04 16:59:59
SC,BA-5,LEG.,APROV-IP-(NEO),0.01,APROVAÇÃO DO PROJETO DE IP (NEOENERGIA) - 9201327105,2024-09-16 08:00:00,2025-02-03 16:59:59
SC,BA-5,LEG.,LIG-IP,0.0,LIGAÇÃO DA IP,2026-03-02 08:00:00,2026-03-10 16:59:59
SC,BA-5,LEG.,CARTA,0.0,CARTA DE ENTREGA IP,2026-03-11 08:00:00,2026-03-31 16:59:59
SC,BA-5,PROD.,ENTREGA,0.0,VIABILIDADE DE ENTREGA,2026-03-31 16:59:59,2026-03-31 16:59:59
CA,CER-F1,ENG.PROD,PL-ER-E-IP,0.01,PL - ELE - ER COND,2024-04-08 08:00:00,2024-05-27 16:59:59
CA,CER-F1,ENG.PROD,PROJ-EXEC,0.01,PE - ELE - ER / IP INC,2024-07-01 08:00:00,2024-07-23 16:59:59
CA,CER-F1,ENG.PROD,PL-ER-E-IP,0.01,PL - ELE - IP COND,2024-04-08 08:00:00,2024-05-27 16:59:59
CA,CER-F1,SUP.,SUP,0.01,SUPRIMENTOS,2024-05-17 08:00:00,2025-05-16 16:59:59
CA,CER-F1,INFRA,EXECUÇÃO-TER,0.01,TERRAPLANAGEM,2024-06-25 08:00:00,2024-10-30 16:59:59
CA,CER-F1,INFRA,PIQ,0.01,PIQUETE PDE,2024-08-26 08:00:00,2024-08-26 16:59:59
CA,CER-F1,INFRA,EXECUÇÃO-ER,0.01,EXECUÇÃO,2025-01-06 08:00:00,2025-04-16 16:59:59
CA,CER-F1,INFRA,EXECUÇÃO-IP,0.01,EXECUÇÃO,2025-03-26 08:00:00,2025-04-24 16:59:59
CA,CER-F1,INFRA,PINT-BAR,0.0,PINTURA DOS BARRAMENTOS E IMPLANTAÇÃO DAS PLACAS DOS TRANSFORMADORES,2025-08-20 08:00:00,2025-09-11 16:59:59
